,log_re_data_train,log_re_test,rf_train,rf_test,knn_data_train,knn_data_test,xgb_data_train,xgb_data_test
Recall,0.8933774834437086,0.8952009496354079,0.8013245033112583,0.7810751229438697,0.8678807947019868,0.8667118874003731,0.8549668874172185,0.8529760895370527
Auc,0.845148524950605,0.8483952131021654,0.878129450742908,0.8777943441521212,0.8497989255883008,0.8629256888358402,0.8670156741706743,0.8711304125405188
Accuracy,0.857950974230044,0.8594175570919756,0.8577414623926252,0.8550178085061806,0.854598784831343,0.8638173056777708,0.8638173056777708,0.8668552273203436
F1_score,0.8883766875205795,0.8872268907563026,0.8769704656640696,0.8693846734616836,0.8830862533692722,0.8871723659086963,0.8882008943928449,0.8878298473215074
